case_id,title,level,status,evidence,detail,metrics,parent_task_id,child_task_id,execution_time,preconditions,input_files,input_sha256,shards,candidate_set,selection_reason,execution_node,gpu_id,actual_outputs,missing_samples,duplicate_samples,log_evidence,issue_id,retry_relation,cleanup_record,test_conclusion,coverage_source,supporting_files
TC11,框架及GPU兼容约束,A,PASS-SIM,case_evidence/TC11.json,不兼容任务在候选阶段被拒绝，未错误调度为成功；现场仍需用冻结镜像、驱动和CUDA进行启动验证。,candidate_rejection=compatibility,TC11-PARENT,TC11-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,不兼容任务在候选阶段被拒绝，未错误调度为成功；现场仍需用冻结镜像、驱动和CUDA进行启动验证。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC11.json; audit_log.jsonl,NONE,NONE,case_evidence/TC11.json: cleanup_status=SIMULATED,PASS-SIM: 不兼容任务在候选阶段被拒绝，未错误调度为成功；现场仍需用冻结镜像、驱动和CUDA进行启动验证。,direct:TC11,case_evidence/TC11.json
TC12,资源耗尽与背压,B,PASS-SIM,case_evidence/TC12.json,在冻结并发容量为2的逻辑队列中提交5项任务，超出容量的任务进入QUEUED，任务ID唯一且队列保持可追踪。现场需用真实调度队列复测。,capacity=2; running=2; queued=3,TC12-PARENT,TC12-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,在冻结并发容量为2的逻辑队列中提交5项任务，超出容量的任务进入QUEUED，任务ID唯一且队列保持可追踪。现场需用真实调度队列复测。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC12.json; audit_log.jsonl,NONE,NONE,case_evidence/TC12.json: cleanup_status=SIMULATED,PASS-SIM: 在冻结并发容量为2的逻辑队列中提交5项任务，超出容量的任务进入QUEUED，任务ID唯一且队列保持可追踪。现场需用真实调度队列复测。,direct:TC12,case_evidence/TC12.json
TC13,海南本地推理,A,PASS-SIM,case_evidence/TC13.json,DT01中S01/S02等海南亲和分片完成并生成分片结果哈希；现场需补充真实GPU指标和参考精度。,covered_by=DT01; hainan_shards=6,POC-IMG-DUAL-001,S01-S08,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,S01-S08,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,DT01中S01/S02等海南亲和分片完成并生成分片结果哈希；现场需补充真实GPU指标和参考精度。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,0,0,case_evidence/TC13.json; audit_log.jsonl,NONE,NONE,case_evidence/TC13.json: cleanup_status=SIMULATED,PASS-SIM: DT01中S01/S02等海南亲和分片完成并生成分片结果哈希；现场需补充真实GPU指标和参考精度。,mapped:DT01,dt01_shards.csv; charts/dispatch_timeline.png
TC14,重庆异地推理,A,PASS-SIM,case_evidence/TC14.json,DT01中S03/S04等重庆亲和分片完成并形成回传/汇聚逻辑记录；OTN真实传输待现场复测。,covered_by=DT01; chongqing_shards=6,POC-IMG-DUAL-001,S01-S08,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,S01-S08,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,DT01中S03/S04等重庆亲和分片完成并形成回传/汇聚逻辑记录；OTN真实传输待现场复测。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,0,0,case_evidence/TC14.json; audit_log.jsonl,NONE,NONE,case_evidence/TC14.json: cleanup_status=SIMULATED,PASS-SIM: DT01中S03/S04等重庆亲和分片完成并形成回传/汇聚逻辑记录；OTN真实传输待现场复测。,mapped:DT01,dt01_shards.csv; charts/dispatch_timeline.png
TC15,批量推理与队列,A,PASS-SIM,case_evidence/TC15.json,DT01连续3轮、每轮8分片、两地均参与；每轮4096条结果的缺失和重复计数为0。,covered_by=DT01; rounds=3; shards=24,POC-IMG-DUAL-001,S01-S08,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,S01-S08,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,DT01连续3轮、每轮8分片、两地均参与；每轮4096条结果的缺失和重复计数为0。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,0,0,case_evidence/TC15.json; audit_log.jsonl,NONE,NONE,case_evidence/TC15.json: cleanup_status=SIMULATED,PASS-SIM: DT01连续3轮、每轮8分片、两地均参与；每轮4096条结果的缺失和重复计数为0。,mapped:DT01,dt01_shards.csv; charts/dispatch_timeline.png
TC17,任务取消,B,PASS-SIM,case_evidence/TC17.json,模拟排队中和运行中任务均进入CANCELLED，后续不再产生成功执行记录；实际取消接口和容器终止仍待现场复测。,queued_cancelled=1; running_cancelled=1,TC17-PARENT,TC17-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,模拟排队中和运行中任务均进入CANCELLED，后续不再产生成功执行记录；实际取消接口和容器终止仍待现场复测。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC17.json; audit_log.jsonl,NONE,NONE,case_evidence/TC17.json: cleanup_status=SIMULATED,PASS-SIM: 模拟排队中和运行中任务均进入CANCELLED，后续不再产生成功执行记录；实际取消接口和容器终止仍待现场复测。,direct:TC17,case_evidence/TC17.json
TC19,结果正确性,A,PASS-SIM,case_evidence/TC19.json,确定性仿真中每个分片结果哈希与冻结参考哈希一致；现场需替换为真实镜像逐样本输出和误差阈值比对。,reference_mismatch=0,POC-IMG-DUAL-001,S01-S08,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,S01-S08,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,确定性仿真中每个分片结果哈希与冻结参考哈希一致；现场需替换为真实镜像逐样本输出和误差阈值比对。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,0,0,case_evidence/TC19.json; audit_log.jsonl,NONE,NONE,case_evidence/TC19.json: cleanup_status=SIMULATED,PASS-SIM: 确定性仿真中每个分片结果哈希与冻结参考哈希一致；现场需替换为真实镜像逐样本输出和误差阈值比对。,mapped:DT01,dt01_shards.csv
TC20,结果回传完整性,A,PASS-SIM,case_evidence/TC20.json,DT05为A/B结果包生成独立哈希并完成模拟回传确认；新加坡—海南真实传输、下载时序和哈希复算待现场复测。,result_hash_length=64; parent_packages=2,TC20-PARENT,S01-S08,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,S01-S08,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,DT05为A/B结果包生成独立哈希并完成模拟回传确认；新加坡—海南真实传输、下载时序和哈希复算待现场复测。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,0,0,case_evidence/TC20.json; audit_log.jsonl,NONE,NONE,case_evidence/TC20.json: cleanup_status=SIMULATED,PASS-SIM: DT05为A/B结果包生成独立哈希并完成模拟回传确认；新加坡—海南真实传输、下载时序和哈希复算待现场复测。,mapped:DT05,dt05_isolation_cleanup.csv
TC22,计算节点离线,A,PASS-SIM,case_evidence/TC22.json,重庆节点标记为不健康后从候选集排除；模拟调度不会向该节点派发新任务。现场需停止真实节点代理验证采集时延。,chongqing_new_dispatch=0,TC22-PARENT,TC22-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,重庆节点标记为不健康后从候选集排除；模拟调度不会向该节点派发新任务。现场需停止真实节点代理验证采集时延。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC22.json; audit_log.jsonl,NONE,NONE,case_evidence/TC22.json: cleanup_status=SIMULATED,PASS-SIM: 重庆节点标记为不健康后从候选集排除；模拟调度不会向该节点派发新任务。现场需停止真实节点代理验证采集时延。,direct:TC22,case_evidence/TC22.json
TC23,海南—重庆链路中断,A,PASS-SIM,case_evidence/TC23.json,DT04模拟OTN_DOWN后运行中重庆分片失败；真实链路告警、停派时延和重试策略待现场复测。,covered_by=DT04; failed_link_tasks=1,TC23-PARENT,TC23-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,DT04模拟OTN_DOWN后运行中重庆分片失败；真实链路告警、停派时延和重试策略待现场复测。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC23.json; audit_log.jsonl,NONE,DT04-PARENT-S03,case_evidence/TC23.json: cleanup_status=SIMULATED,PASS-SIM: DT04模拟OTN_DOWN后运行中重庆分片失败；真实链路告警、停派时延和重试策略待现场复测。,mapped:DT04,dt04_failure_recovery.csv; charts/failure_recovery.png
TC25,链路恢复与重传,B,PASS-SIM,case_evidence/TC25.json,链路恢复后重新形成可执行候选并允许关联任务重传；仿真使用新一次调度决策，现场需核验续传/重传和脏文件清理。,before=SCHEDULED; after=SCHEDULED; retry_keys=1,TC25-PARENT,TC25-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,链路恢复后重新形成可执行候选并允许关联任务重传；仿真使用新一次调度决策，现场需核验续传/重传和脏文件清理。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC25.json; audit_log.jsonl,NONE,DT04-PARENT-S03,case_evidence/TC25.json: cleanup_status=SIMULATED,PASS-SIM: 链路恢复后重新形成可执行候选并允许关联任务重传；仿真使用新一次调度决策，现场需核验续传/重传和脏文件清理。,mapped:DT04,case_evidence/TC25.json
TC26,节点恢复与重新纳管,B,PASS-SIM,case_evidence/TC26.json,节点未通过健康状态检查时不接收任务；恢复健康并重新纳管后才进入候选集。现场需接入真实节点代理和GPU服务。,before=SCHEDULED; after=SCHEDULED,TC26-PARENT,TC26-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,节点未通过健康状态检查时不接收任务；恢复健康并重新纳管后才进入候选集。现场需接入真实节点代理和GPU服务。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC26.json; audit_log.jsonl,NONE,NONE,case_evidence/TC26.json: cleanup_status=SIMULATED,PASS-SIM: 节点未通过健康状态检查时不接收任务；恢复健康并重新纳管后才进入候选集。现场需接入真实节点代理和GPU服务。,direct:TC26,case_evidence/TC26.json
DT01,两地共同执行的分片批量推理,A,PASS-SIM,case_evidence/DT01.json,每轮8个子任务，S01/S02固定海南、S03/S04固定重庆，其余由海南优先规则自动选择；连续3轮均形成闭环。,3/3轮成功；每轮4096条唯一样本；两地均参与,POC-IMG-DUAL-001,S01-S08,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,S01-S08,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,每轮8个子任务，S01/S02固定海南、S03/S04固定重庆，其余由海南优先规则自动选择；连续3轮均形成闭环。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,0,0,case_evidence/DT01.json; audit_log.jsonl,NONE,NONE,case_evidence/DT01.json: cleanup_status=SIMULATED,PASS-SIM: 每轮8个子任务，S01/S02固定海南、S03/S04固定重庆，其余由海南优先规则自动选择；连续3轮均形成闭环。,direct:DT01,dt01_shards.csv; report_data.json; charts/dispatch_timeline.png
DT02,海南优先与重庆自动分流,A,PASS-SIM,case_evidence/DT02.json,空闲时选择海南；海南两张4090各预占20GB后，8GB单卡任务因可用显存不足被分流至重庆。,海南优先命中1/1；资源不足分流1/1,DT02-PARENT,S01-S08,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,S01-S08,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,空闲时选择海南；海南两张4090各预占20GB后，8GB单卡任务因可用显存不足被分流至重庆。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,0,0,case_evidence/DT02.json; audit_log.jsonl,NONE,NONE,case_evidence/DT02.json: cleanup_status=SIMULATED,PASS-SIM: 空闲时选择海南；海南两张4090各预占20GB后，8GB单卡任务因可用显存不足被分流至重庆。,direct:DT02,dt02_routing.csv; charts/dt02_routing.png
DT03,单卡16GB显存硬约束,A,PASS-SIM,case_evidence/DT03.json,16GB需求按单卡可用显存判断，重庆4070的12GB单卡在候选阶段直接排除；海南离线时返回资源不足，不发生OOM后回退。,重庆错误调度次数0；OOM后回退次数0,DT03-PARENT,S01-S08,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,S01-S08,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,16GB需求按单卡可用显存判断，重庆4070的12GB单卡在候选阶段直接排除；海南离线时返回资源不足，不发生OOM后回退。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,0,0,case_evidence/DT03.json; audit_log.jsonl,NONE,NONE,case_evidence/DT03.json: cleanup_status=SIMULATED,PASS-SIM: 16GB需求按单卡可用显存判断，重庆4070的12GB单卡在候选阶段直接排除；海南离线时返回资源不足，不发生OOM后回退。,direct:DT03,dt03_vram_constraint.csv; charts/resource_snapshot.png
