case_id,title,level,sim_status,real_status,coverage_source,real_metrics,real_detail
TC22,计算节点离线,A,PASS-SIM,本期未取证,direct:TC22,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：chongqing_new_dispatch=0。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC23,海南—重庆链路中断,A,PASS-SIM,本期未取证,mapped:DT04,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：covered_by=DT04; failed_link_tasks=1。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC25,链路恢复与重传,B,PASS-SIM,本期未取证,mapped:DT04,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：before=SCHEDULED; after=SCHEDULED; retry_keys=1。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC26,节点恢复与重新纳管,B,PASS-SIM,本期未取证,direct:TC26,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：before=SCHEDULED; after=SCHEDULED。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
DT01,两地共同执行的分片批量推理,A,PASS-SIM,PASS-REAL,direct:DT01,3轮×8/8；两地均参与；reference_match 4096/4096,POC-REAL-0004/0005/0006 连续三轮 SUCCEEDED；复核 POC-REAL-0001 参考比对 mismatch=0。
DT02,海南优先与重庆自动分流,A,PASS-SIM,本期未取证,direct:DT02,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：海南优先命中1/1；资源不足分流1/1。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
DT03,单卡16GB显存硬约束,A,PASS-SIM,PASS-REAL,direct:DT03,1/1；仅海南；重庆12GB排除,POC-REAL-0002：16GB 硬约束仅派海南-GPU1 并成功。
DT04,重庆链路中断、停派与分片重试,A,PASS-SIM,本期未取证,direct:DT04,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：断链后重庆新派发0；重试至海南1/1；重复父任务0。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
DT05,结果汇聚、跨境回传与数据清理,A,PASS-SIM,本期未取证,direct:DT05,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：父任务交叉覆盖0；哈希一致性模拟通过；清理对象4类/任务。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC21,任务与结果隔离,A,PASS-SIM,本期未取证,direct:TC21,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：唯一任务键100%。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC28,任务完成后数据清理,A,PASS-SIM,本期未取证,direct:TC28,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：清理对象4类/任务。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC29,全流程审计追踪,A,PASS-SIM,本期未取证,direct:TC29,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：关键字段完整率100%。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC30,连续稳定运行,A/C,PASS-SIM,本期未取证,direct:TC30,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：192/192成功；成功率100.00%。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC02,身份认证失败,A,NOT-RUN,PASS-REAL(REJECTED),direct:TC02,海南/重庆 agent 均 401；未建 GPU 任务,错误 Bearer 访问被拒绝并写入 AUTH_FAIL 审计。
TC03,非授权端口或路径,A,NOT-RUN,PASS-REAL(REJECTED),direct:TC03,端口59999 blocked；未建执行任务,非授权端口探针 Connection refused，PROBE_BLOCKED 审计。
TC24,新加坡—海南VPN中断,A,NOT-RUN,NOT-RUN,direct:TC24,无正式VPN，不纳入通过,现场仅为公网+反向隧道，不具备可控 VPN 中断试验条件。
TC16,轻量训练或微调,C,NOT-APPLICABLE,NOT-APPLICABLE,direct:TC16,条件未满足，本期不执行,新加坡任务方尚未提供轻量训练镜像、合成文本数据和模型许可冻结条件；不纳入本轮主流程验收。
DT06,两地独立轻量训练试验,C,NOT-APPLICABLE,NOT-APPLICABLE,direct:DT06,条件未满足，本期不执行,与TC16相同，条件未满足；具备条件后按方案单独执行，不以当前推理仿真替代。
